FALSE	FALSE	FALSE	FALSE	NoA1	WITNESS	WITNESS	8679	ok	G1F_G2F_G3F_G6F_NoA1
FALSE	FALSE	FALSE	FALSE	NoA2	WITNESS	WITNESS	2190	ok	G1F_G2F_G3F_G6F_NoA2
FALSE	FALSE	FALSE	FALSE	NoA3	WITNESS	WITNESS	18080	ok	G1F_G2F_G3F_G6F_NoA3
FALSE	FALSE	FALSE	FALSE	NoA6	WITNESS	WITNESS	283	ok	G1F_G2F_G3F_G6F_NoA6
FALSE	FALSE	FALSE	TRUE	NoA1	WITNESS	WITNESS	11795	ok	G1F_G2F_G3F_G6T_NoA1
FALSE	FALSE	FALSE	TRUE	NoA2	WITNESS	WITNESS	3584	ok	G1F_G2F_G3F_G6T_NoA2
FALSE	FALSE	FALSE	TRUE	NoA3	WITNESS	WITNESS	5541	ok	G1F_G2F_G3F_G6T_NoA3
FALSE	FALSE	FALSE	TRUE	NoA6	SAFE	SAFE	543290	ok	G1F_G2F_G3F_G6T_NoA6
FALSE	FALSE	TRUE	FALSE	NoA1	WITNESS	WITNESS	14684	ok	G1F_G2F_G3T_G6F_NoA1
FALSE	FALSE	TRUE	FALSE	NoA2	WITNESS	WITNESS	4970	ok	G1F_G2F_G3T_G6F_NoA2
FALSE	FALSE	TRUE	FALSE	NoA3	SAFE	SAFE	2015279	ok	G1F_G2F_G3T_G6F_NoA3
FALSE	FALSE	TRUE	FALSE	NoA6	WITNESS	WITNESS	294	ok	G1F_G2F_G3T_G6F_NoA6
FALSE	FALSE	TRUE	TRUE	NoA1	WITNESS	WITNESS	8801	ok	G1F_G2F_G3T_G6T_NoA1
FALSE	FALSE	TRUE	TRUE	NoA2	WITNESS	WITNESS	2523	ok	G1F_G2F_G3T_G6T_NoA2
FALSE	FALSE	TRUE	TRUE	NoA3	SAFE	SAFE	1061795	ok	G1F_G2F_G3T_G6T_NoA3
FALSE	FALSE	TRUE	TRUE	NoA6	SAFE	SAFE	1061795	ok	G1F_G2F_G3T_G6T_NoA6
FALSE	TRUE	FALSE	FALSE	NoA1	WITNESS	WITNESS	11994	ok	G1F_G2T_G3F_G6F_NoA1
FALSE	TRUE	FALSE	FALSE	NoA2	SAFE	SAFE	824904	ok	G1F_G2T_G3F_G6F_NoA2
FALSE	TRUE	FALSE	FALSE	NoA3	WITNESS	WITNESS	5919	ok	G1F_G2T_G3F_G6F_NoA3
FALSE	TRUE	FALSE	FALSE	NoA6	WITNESS	WITNESS	257	ok	G1F_G2T_G3F_G6F_NoA6
FALSE	TRUE	FALSE	TRUE	NoA1	WITNESS	WITNESS	9528	ok	G1F_G2T_G3F_G6T_NoA1
FALSE	TRUE	FALSE	TRUE	NoA2	SAFE	SAFE	428120	ok	G1F_G2T_G3F_G6T_NoA2
FALSE	TRUE	FALSE	TRUE	NoA3	WITNESS	WITNESS	10236	ok	G1F_G2T_G3F_G6T_NoA3
